,Unnamed: 0,Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data,PTS_rolling_avg,AST_rolling_avg,TRB_rolling_avg,FG%_rolling_avg,STL_rolling_avg,BLK_rolling_avg,PTS_allowed,AST_allowed,TRB_allowed,STL_allowed,BLK_allowed,FG%_allowed
0,226,A.J. Green,MIL,PHI,W,4.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.7,2024-10-23,0.0,1.0,0.0,0.0,1.0,0.0,10.467272727272727,2.5527272727272727,4.101818181818182,0.6509090909090909,0.4763636363636364,0.4881395348837209
1,473,A.J. Green,MIL,CHI,L,11.25,3,4,0.75,3,4,0.75,0,0,0.0,0,1,1,1,0,0,0,1,9,8.0,2024-10-25,4.5,1.0,0.5,0.375,0.5,0.0,10.900523560209423,2.6387434554973823,4.2460732984293195,0.7452006980802792,0.4537521815008726,0.4711693548387097
2,903,A.J. Green,MIL,BRK,L,12.87,1,4,0.25,1,4,0.25,2,2,1.0,0,0,0,1,0,0,1,0,5,2.3,2024-10-27,4.666666666666667,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,10.336298932384341,2.491103202846975,3.9626334519572954,0.7615658362989324,0.5231316725978647,0.48040339216135686
3,1108,A.J. Green,MIL,BOS,L,2.73,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,3,2.3,2024-10-28,4.25,0.75,0.5,0.375,0.25,0.0,10.474074074074075,2.3203703703703704,4.292592592592593,0.6592592592592592,0.40185185185185185,0.4529474812433012
4,1582,A.J. Green,MIL,MEM,L,4.73,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,2024-10-31,3.4,0.6,0.4,0.3,0.2,0.0,10.36443661971831,2.3661971830985915,3.8485915492957745,0.8362676056338029,0.5035211267605634,0.4502127659574468
5,2113,A.J. Green,MIL,CLE,L,33.97,7,9,0.778,7,9,0.778,0,0,0.0,0,6,6,1,0,0,1,0,21,19.0,2024-11-04,7.6,0.6,1.6,0.4556,0.0,0.0,10.353463587921848,2.3658969804618115,4.017761989342806,0.7069271758436945,0.41207815275310833,0.4563872894007251
6,2681,A.J. Green,MIL,UTA,W,18.42,4,6,0.667,4,6,0.667,0,0,0.0,0,0,0,2,1,0,1,0,12,10.8,2024-11-07,8.2,0.8,1.4,0.43900000000000006,0.2,0.0,11.132958801498127,2.6816479400749063,3.99250936329588,0.9082397003745318,0.6217228464419475,0.4753990815657118
7,2905,A.J. Green,MIL,NYK,L,24.97,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0,0,0,0,0,4,9,4.4,2024-11-08,9.0,0.6,1.4,0.48900000000000005,0.2,0.0,10.234234234234235,2.344144144144144,3.772972972972973,0.6252252252252253,0.45045045045045046,0.47108729627148915
8,3164,A.J. Green,MIL,BOS,L,26.95,4,6,0.667,4,6,0.667,0,0,0.0,0,3,3,0,3,0,0,1,12,12.9,2024-11-10,10.8,0.6,1.8,0.5224,0.8,0.0,10.474074074074075,2.3203703703703704,4.292592592592593,0.6592592592592592,0.40185185185185185,0.4529474812433012
9,3525,A.J. Green,MIL,TOR,W,30.12,4,14,0.286,4,14,0.286,0,0,0.0,2,3,5,3,2,0,1,2,12,8.4,2024-11-12,13.2,1.2,2.8,0.5796,1.2,0.0,10.876565295169947,2.4508050089445437,4.10912343470483,0.8604651162790697,0.5474060822898033,0.47192484159930087
10,3827,A.J. Green,MIL,DET,W,20.78,1,5,0.2,1,4,0.25,0,0,0.0,0,2,2,1,0,0,2,0,3,-0.8,2024-11-13,9.6,1.2,2.0,0.4640000000000001,1.2,0.0,10.915129151291513,2.4464944649446494,4.060885608856089,0.8911439114391144,0.474169741697417,0.46772068511198944
11,4217,A.J. Green,MIL,CHO,L,12.62,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0.2,2024-11-16,7.6,0.8,2.0,0.4306,1.0,0.0,10.958167330677291,2.5677290836653386,4.306772908366534,0.8027888446215139,0.5438247011952191,0.4657950035022181
12,4570,A.J. Green,MIL,HOU,W,28.87,2,6,0.333,1,5,0.2,0,0,0.0,0,5,5,2,0,0,0,3,5,3.3,2024-11-18,6.8,1.2,3.0,0.3972,1.0,0.0,10.175824175824175,2.1227106227106227,3.9963369963369964,0.7289377289377289,0.5567765567765568,0.45523554364813573
13,4766,A.J. Green,MIL,CHI,W,27.42,6,9,0.667,5,7,0.714,1,2,0.5,1,1,2,1,2,1,0,2,18,17.3,2024-11-20,8.0,1.4,2.8,0.3972,0.8,0.2,10.900523560209423,2.6387434554973823,4.2460732984293195,0.7452006980802792,0.4537521815008726,0.4711693548387097
14,5139,A.J. Green,MIL,IND,W,23.27,2,7,0.286,1,6,0.167,0,0,0.0,0,3,3,0,1,0,0,2,5,2.0,2024-11-22,6.6,0.8,2.4,0.3972,0.6,0.2,10.58011049723757,2.410681399631676,4.121546961325967,0.6906077348066298,0.4198895027624309,0.47177872723184167
15,5271,A.J. Green,MIL,CHO,W,24.55,3,4,0.75,3,4,0.75,0,0,0.0,1,5,6,0,0,0,2,6,9,5.2,2024-11-23,7.8,0.6,3.2,0.5072,0.6,0.2,10.958167330677291,2.5677290836653386,4.306772908366534,0.8027888446215139,0.5438247011952191,0.4657950035022181
16,5722,A.J. Green,MIL,MIA,W,28.33,3,7,0.429,3,7,0.429,0,0,0.0,0,1,1,2,0,0,1,4,9,4.4,2024-11-26,9.2,1.0,3.4,0.493,0.6,0.2,10.597701149425287,2.586206896551724,4.385057471264368,0.7145593869731801,0.4904214559386973,0.4604412747938489
17,6325,A.J. Green,MIL,WAS,W,25.72,4,8,0.5,3,6,0.5,2,2,1.0,0,1,1,1,0,0,0,6,13,7.6,2024-11-30,10.8,0.8,2.6,0.5264,0.6,0.2,10.833916083916083,2.5576923076923075,4.309440559440559,0.8216783216783217,0.48426573426573427,0.47577560560985976
18,6791,A.J. Green,MIL,DET,W,21.68,4,4,1.0,3,3,1.0,0,0,0.0,0,3,3,0,2,0,3,5,11,7.7,2024-12-03,9.4,0.6,2.8,0.593,0.6,0.0,10.915129151291513,2.4464944649446494,4.060885608856089,0.8911439114391144,0.474169741697417,0.46772068511198944
19,7016,A.J. Green,MIL,ATL,L,27.3,2,11,0.182,2,11,0.182,0,0,0.0,0,4,4,4,0,0,0,3,6,1.9,2024-12-04,9.6,1.4,3.0,0.5722,0.4,0.0,11.310786106032907,2.7239488117001827,4.255941499085923,0.9104204753199269,0.4954296160877514,0.4797125950972105
20,7325,A.J. Green,MIL,BOS,L,22.75,2,4,0.5,2,2,1.0,0,0,0.0,0,2,2,0,0,0,1,0,6,3.6,2024-12-06,9.0,1.4,2.2,0.5222,0.4,0.0,10.474074074074075,2.3203703703703704,4.292592592592593,0.6592592592592592,0.40185185185185185,0.4529474812433012
21,7665,A.J. Green,MIL,BRK,W,21.65,2,2,1.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,2,6,4.9,2024-12-08,8.4,1.0,2.2,0.6364000000000001,0.4,0.0,10.336298932384341,2.491103202846975,3.9626334519572954,0.7615658362989324,0.5231316725978647,0.48040339216135686
22,7799,A.J. Green,MIL,ORL,W,32.57,3,9,0.333,3,8,0.375,0,0,0.0,0,4,4,2,0,1,2,2,9,4.4,2024-12-10,7.6,1.2,2.8,0.603,0.4,0.2,9.648275862068965,2.0913793103448275,3.7982758620689654,0.7413793103448276,0.39655172413793105,0.4740671203942736
